         7221921 function calls (6871246 primitive calls) in 34.186 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16220    0.193    0.000    0.289    0.000 /home/manu/.buildout/eggs/redis-2.10.5-py2.7.egg/redis/connection.py:601(pack_command)
16220/16219    0.053    0.000    0.285    0.000 /home/manu/.buildout/eggs/redis-2.10.5-py2.7.egg/redis/connection.py:535(send_packed_command)
      902    0.285    0.000    0.285    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:4696(_uniquify_list)
    78274    0.119    0.000    0.285    0.000 /home/manu/src/merchise/pgi/openerp/openerp/api.py:742(__getitem__)
        3    0.000    0.000    0.280    0.093 /home/manu/src/merchise/pgi/openerp/openerp/http.py:155(dispatch_rpc)
       33    0.004    0.000    0.278    0.008 /home/manu/src/merchise/pgi/openerp/openerp/osv/fields.py:768(get)
   302083    0.191    0.000    0.267    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5297(ensure_one)
        1    0.000    0.000    0.266    0.266 /home/manu/src/merchise/pgi/odoo/addons/web/controllers/main.py:794(get_session_info)
        1    0.000    0.000    0.266    0.266 /home/manu/src/merchise/pgi/odoo/addons/web/controllers/main.py:783(session_info)
       72    0.000    0.000    0.262    0.004 /home/manu/src/merchise/pgi/openerp/openerp/http.py:1137(assert_valid)
        1    0.000    0.000    0.262    0.262 /home/manu/src/merchise/pgi/openerp/openerp/http.py:1151(ensure_valid)
        1    0.000    0.000    0.261    0.261 /home/manu/src/merchise/pgi/openerp/openerp/http.py:942(proxy_method)
        1    0.000    0.000    0.261    0.261 /home/manu/src/merchise/pgi/openerp/openerp/service/common.py:20(dispatch)
        1    0.000    0.000    0.261    0.261 /home/manu/src/merchise/pgi/openerp/openerp/service/common.py:28(exp_login)
        1    0.000    0.000    0.261    0.261 /home/manu/src/merchise/pgi/openerp/openerp/service/security.py:25(login)
        1    0.000    0.000    0.261    0.261 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/res/res_users.py:438(_login)
       30    0.000    0.000    0.257    0.009 /usr/lib/python2.7/xml/etree/ElementTree.py:1180(parse)
       30    0.001    0.000    0.256    0.009 /usr/lib/python2.7/xml/etree/ElementTree.py:644(parse)
       31    0.016    0.001    0.255    0.008 /usr/lib/python2.7/xml/etree/ElementTree.py:1638(feed)
        1    0.000    0.000    0.245    0.245 /home/manu/src/merchise/pgi/odoo/addons/account_analytic_analysis/account_analytic_analysis.py:387(_remaining_ca_calc)
    31404    0.216    0.000    0.242    0.000 /usr/lib/python2.7/genericpath.py:26(isfile)
    17436    0.237    0.000    0.237    0.000 /usr/lib/python2.7/socket.py:223(meth)
   381385    0.233    0.000    0.233    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5494(__nonzero__)
       13    0.003    0.000    0.231    0.018 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_ui_view.py:501(read_combined)
        1    0.002    0.002    0.228    0.228 /home/manu/src/merchise/pgi/odoo/addons/account_analytic_analysis/account_analytic_analysis.py:358(_fix_price_to_invoice_calc)
        1    0.000    0.000    0.228    0.228 /home/manu/src/merchise/pgi/odoo/addons/web/controllers/main.py:607(translations)
     4302    0.030    0.000    0.226    0.000 /usr/lib/python2.7/contextlib.py:21(__exit__)
    16896    0.083    0.000    0.222    0.000 /home/manu/src/merchise/pgi/openerp/openerp/tools/lru.py:41(__setitem__)
     2823    0.002    0.000    0.217    0.000 /build/buildd/python2.7-2.7.6/Modules/pyexpat.c:566(StartElement)
     2823    0.009    0.000    0.216    0.000 /usr/lib/python2.7/xml/etree/ElementTree.py:1535(_start_list)
      929    0.001    0.000    0.212    0.000 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_qweb.py:181(get_template)
    37151    0.099    0.000    0.211    0.000 /usr/lib/python2.7/_abcoll.py:360(get)
        9    0.000    0.000    0.210    0.023 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_ui_view.py:1014(loader)
        9    0.000    0.000    0.210    0.023 <string>:1(read_template)
        9    0.002    0.000    0.209    0.023 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_ui_view.py:838(read_template)
     2823    0.006    0.000    0.198    0.000 /usr/lib/python2.7/xml/etree/ElementTree.py:1417(start)
        1    0.001    0.001    0.198    0.198 /home/manu/src/merchise/pgi/odoo/addons/analytic_contract_hr_expense/analytic_contract_hr_expense.py:85(_expense_invoiced_calc)
    81182    0.092    0.000    0.195    0.000 /home/manu/src/merchise/pgi/openerp/openerp/tools/func.py:38(__get__)
    59/13    0.004    0.000    0.189    0.015 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_ui_view.py:479(apply_view_inheritance)
     2824    0.188    0.000    0.188    0.000 /usr/lib/python2.7/xml/etree/ElementTree.py:207(__init__)
     4096    0.010    0.000    0.188    0.000 /home/manu/src/merchise/pgi/openerp/openerp/sql_db.py:383(__exit__)
       59    0.004    0.000    0.179    0.003 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_ui_view.py:305(get_inheriting_views_arch)
        6    0.000    0.000    0.177    0.030 /home/manu/src/merchise/pgi/odoo/addons/calendar/calendar.py:628(get)
        6    0.000    0.000    0.177    0.029 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_values.py:486(get)
        6    0.000    0.000    0.177    0.029 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_values.py:447(_map_legacy_model_list)
        6    0.000    0.000    0.177    0.029 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_values.py:499(do_get)
        6    0.001    0.000    0.177    0.029 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_values.py:389(get_actions)
       25    0.000    0.000    0.174    0.007 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_http.py:81(_authenticate)
       24    0.000    0.000    0.173    0.007 /home/manu/src/merchise/pgi/openerp/openerp/http.py:1035(check_security)
       24    0.000    0.000    0.173    0.007 /home/manu/src/merchise/pgi/openerp/openerp/service/security.py:34(check)
